country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
SAU,,,4.91054,,3.44947,3.46702,,,1.91928,1.50892,1.6747,1.06453,1.24683,1.27667,1.41484,1.31887,
SDN,,,,,,,,4.42618,,3.52539,3.46051,3.78698,3.5546,3.94922,2.75814,,
SEN,13.8909,13.07382,11.9022,10.78626,10.78878,7.77892,7.61615,6.31353,3.08567,3.48786,2.85533,3.0033,2.82168,3.7518,,3.67935,
SGP,,,,,0.39689,0.33614,0.42317,,,,,,,0.16946,0.17506,,
SLB,,,,,,,,,8.66295,8.74766,7.48325,7.61438,7.17602,9.49343,7.29857,6.26754,
SLE,,,,,9.72597,,,,15.24941,14.08179,13.69889,,13.47654,5.84403,6.19945,1.46956,
SLV,7.62805,,7.42611,8.69186,7.85012,7.11722,6.08148,6.75985,6.90929,7.71181,8.23336,7.35648,6.84394,5.55738,3.88755,4.53325,
SMR,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,
SRB,,,,,0.71449,0.73362,0.7562,0.63945,0.48275,0.42241,0.51062,0.53996,0.75833,0.85961,0.71788,0.57671,
SSD,,,,,,,,,10.15535,,,,,,,,
STP,29.33942,25.39267,24.45381,,27.39726,25.62098,15.60167,13.77374,13.54392,12.93203,,12.44219,,15.46763,14.43861,,
SUR,,,22.29506,15.78701,17.80551,19.86284,19.51922,20.30278,19.61536,19.28942,18.7568,18.40298,18.90607,19.84062,19.30167,19.08017,
SVK,2.68217,2.8094,2.85236,3.02276,2.94264,3.22374,3.48708,3.35294,2.96306,3.05728,2.89702,3.06403,3.21269,3.27798,3.45033,,
SVN,0.70699,0.61649,0.55918,0.60013,0.52956,0.69521,0.80485,0.93731,0.89928,0.92187,0.99068,0.94578,0.9408,1.02366,1.04944,,
SWE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
SWZ,18.86453,18.48601,19.47207,18.88567,20.54626,,19.1156,17.09246,17.66854,17.6332,19.1688,17.84346,17.75765,15.98344,15.64483,,
SXM,,,,,,,,,,11.95773,,8.1862,,,,,
SYR,9.03809,8.30819,8.11013,7.34484,7.95672,8.48352,8.75942,8.62107,8.51976,8.38697,8.23237,,,,,,
TCA,,6.73077,3.22284,,,,2.6245,,,,,1.63569,4.67219,,,2.28117,
TCD,23.43548,19.62062,21.75328,21.16457,21.14725,22.2945,22.29243,21.96642,21.23715,22.5141,23.86754,,22.33137,16.53386,,,
TGO,23.19392,23.61705,22.63991,23.72024,23.48719,22.67664,22.07637,22.01713,21.3657,19.93973,17.97802,11.26282,8.8437,7.92906,7.54035,7.6787,
THA,,,,,,,,,,,,,2.62404,2.62874,2.46188,1.92953,
TJK,,,,,,,0.28337,0.30473,0.09409,0.20275,,0.05525,0.03908,0.04009,0.07598,,
TLS,,,,,,13.67687,19.86127,18.57666,20.20679,19.26519,19.79926,19.94534,16.50509,18.36706,16.93077,15.4685,
TON,,,5.1582,5.88301,,,,,,3.1115,3.50233,,,,,,
TTO,5.86077,6.10882,5.99214,,4.41584,7.65491,6.79619,7.3754,,,,,,,,,
TUN,10.83981,8.68612,10.22998,7.25832,8.96574,10.27904,8.36005,7.35112,,,8.82356,8.43399,0.03928,14.49937,14.11499,,
TUR,,2.53831,2.37577,2.37593,2.10462,2.07247,1.65279,1.56473,2.17679,1.99139,1.89469,1.68083,1.65862,2.02858,2.4011,,
TUV,,,,,,,,,,,,,0.0,0.0,,0.70621,
TZA,,5.18937,5.72504,4.79456,4.25871,,2.43899,2.51359,,2.72683,3.67025,,,4.81415,,2.03935,
UGA,13.46869,13.79019,12.95149,,15.01477,11.1204,13.8126,10.98612,10.47062,10.79801,10.51986,7.25785,7.28789,8.0772,8.98557,,
UKR,0.15678,0.12362,0.10709,0.11893,0.1192,0.11665,0.09272,0.07113,0.06393,0.05599,0.05476,0.05669,0.05107,0.06203,0.08976,0.0887,
URY,9.72435,8.78417,8.80762,8.22873,8.23317,7.99862,6.51979,6.59012,6.4317,6.21033,5.73068,5.4986,5.2901,5.02105,,,
USA,,,,,,,,,,,,,,,1.65861,,
UZB,0.03344,0.02855,0.01928,0.01676,0.01113,0.00723,0.00507,0.00856,0.00666,0.00664,0.00548,0.00457,0.00291,0.00231,0.00235,0.00117,
VCT,12.03471,7.389,4.98943,,,5.16397,,5.75778,5.9965,6.04442,5.25645,3.32269,4.56474,2.99792,3.4945,2.82723,
VEN,9.12711,8.91011,8.33241,7.54708,6.0745,4.13969,4.36728,4.66459,4.46077,3.57811,3.65725,3.82135,3.80719,3.78838,3.71374,,
VGB,4.55487,5.60492,8.63454,8.58283,6.16175,,7.90464,6.86513,9.68731,6.41809,7.67386,7.66996,7.60201,3.62606,4.0113,,
VNM,2.82671,,,,,,,,,,1.31449,1.27721,1.25715,1.08803,1.08696,1.12306,
VUT,,11.53865,,,14.68401,14.36412,15.21123,14.66316,,,17.31124,,,,,,
WSM,,,,,1.48912,,1.08549,1.13629,1.30919,1.13777,,1.58171,1.54375,1.61463,1.12846,1.13808,
YEM,4.75745,4.76367,5.30976,,,6.26967,,7.12973,,7.30571,9.32622,,,6.4267,,,
ZAF,5.86158,8.39075,,,,,,,,,,,10.82352,10.66436,,,
ZMB,,7.05219,6.62248,7.22481,6.83178,6.10226,6.45928,6.37655,6.1508,5.56183,5.70256,,,,,,
ZWE,,,,,,,,,,2.37129,2.11567,,,,,,
