country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
RUS,,,,,,,,,,,91.69424,93.07093,,,90.67886,,
RWA,,,,,,,,,,,,,28.1042,28.13633,,35.87144,
SAU,,,,,,,73.54999,,,,,,,89.72179,90.55695,96.36052,
SDN,,,,,,,,,31.4995,,,,,,,,
SEN,,14.99612,19.81839,20.83433,,,,,,,,,,,37.66861,,
SGP,,,,,,,,,,,,,,99.53179,99.78462,,
SLB,,,,34.28613,30.99458,,,,,,,,,,,,
SLE,,,,,,,,,,,33.40844,,32.50901,,38.33144,41.76675,
SLV,,,57.372,56.26755,56.40539,57.25487,58.78916,61.23691,63.49826,65.32173,67.03843,66.52072,65.16322,63.97324,60.18056,61.83092,
SMR,,,,,,,,,,,,,,,,66.54351,
SRB,,,,,,89.58781,90.24074,90.16584,92.48608,92.86209,93.02904,92.20523,93.78182,93.11418,92.45639,92.06535,
SSD,,,,,,,,,5.0784,,,,5.48403,,,,
STP,26.07338,25.34772,30.8018,,32.13773,31.39787,32.56531,34.9313,46.62194,,53.83322,62.8682,65.23344,,,,
SUR,,,,,,,45.70265,50.82254,50.99553,51.9546,54.05382,55.31381,57.78983,,,,
SVK,86.45427,88.28267,87.84709,87.07428,86.58337,85.9498,85.70593,85.63455,85.48102,85.32587,84.20808,84.22573,84.75642,85.03241,84.75751,,
SVN,92.96358,92.23803,92.02712,91.66008,93.14014,93.05556,93.45478,94.02173,94.12994,94.0584,95.17996,94.78695,96.42797,95.46,95.68577,,
SWE,98.32237,98.71966,99.83487,99.55568,98.45967,97.11186,95.06724,93.07121,91.5596,92.53922,94.47021,96.67425,99.64163,99.06336,,,
SWZ,32.95422,37.26517,35.74311,31.48725,32.8932,,36.179,37.06153,39.58057,40.13429,39.00495,40.49563,41.69996,,,,
SXM,,,,,,,,,,76.49279,,69.75968,,,,,
SYC,74.80909,74.78367,81.58629,,79.14181,76.43478,76.27449,74.66878,,,73.85355,74.57848,78.19143,80.64695,79.64231,80.06115,
SYR,57.42479,60.93327,64.02818,63.8259,65.38093,65.9656,66.07245,66.79607,68.82457,72.30405,48.50187,,,,,,
TCD,10.5173,,,,,,,,,,,,18.44135,18.8551,,,
TGO,,,,,,,,,,,,,,,41.01339,,
THA,,,,69.59192,73.2857,75.39528,77.17242,77.10383,79.4745,76.52904,,78.79973,77.27069,,,,
TJK,,78.10509,78.1815,78.81148,80.24331,81.59779,81.79476,82.50797,83.21746,,,,,,,,
TLS,,,,,,34.4879,39.44789,40.50575,43.67477,45.19743,45.28738,48.53262,52.64272,57.17904,60.61502,62.73563,
TON,,,,,,,,,,86.01662,80.76551,80.76477,82.07469,,,,
TTO,,72.64738,,,,,,,,,,,,,,,
TUR,72.13827,74.05944,76.35578,78.89809,80.55242,79.85273,76.51685,80.94061,84.20113,81.2314,86.87212,87.44485,86.64416,85.28003,87.22819,,
TUV,,,,,,,,,,,,68.02097,69.73008,58.50727,,66.72794,
TZA,,,,,,,,,,,,,,23.93899,24.55251,26.54777,
UGA,,15.71306,,,19.94433,22.37343,,,,,,,,,,,
UKR,91.04401,90.22745,85.67247,86.92265,86.76809,86.4859,85.75843,85.99148,84.20284,84.48572,85.02414,85.67634,,,,,
URY,,,,,67.65482,69.47614,71.36421,,73.45892,74.70228,,76.6716,81.60692,83.27916,88.21273,,
