country_code,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
LCA,0.7,0.7,0.9,0.93310098500859,0.9,0.931020062296175,0.9,0.9,0.9,0.9,0.9
LIE,42.2,42.2,42.2,42.4895272292041,11.9,11.9351041815516,42.2,42.6,42.6,42.6,42.6
LKA,2.5,2.6,3.4,3.37879848480939,3.4,3.37864252327298,3.4,3.4,3.4,3.4,3.4
LSO,0.2,0.3,0.3,0.259058862108542,0.3,0.261388681242792,0.3,0.5,0.5,0.5,21.3
LTU,16.4,16.4,16.9,17.33919590185,17.7,17.7642086947157,17.8,17.8,17.8,17.8,17.8
LUX,37.3,34.9,32.5,32.2692174714763,40.9,40.8727413785501,51.2,51.2,51.3,55.8,55.8
LVA,17.8,17.8,17.8,17.5098922163384,17.5,17.5110476673142,17.5,17.5,17.5,17.5,17.5
MAF,4.1,3.2,3.2,92.3513250022157,92.0,91.9870071870023,92.0,92.0,92.0,92.0,92.0
MAR,1.7,59.7,18.5,18.5463660614773,18.5,18.446888209998,18.4,2.8,1.6,1.6,1.6
MCO,0.3,0.3,0.3,99.7200839748076,99.4,99.459571201349,99.4,99.4,99.2,99.2,99.2
MDA,4.2,4.2,4.2,4.15147892756405,4.2,4.1505345485515,4.2,4.2,11.4,11.4,11.4
MDG,1.9,1.9,1.9,1.97284875372353,2.4,2.34594786584438,2.3,3.1,3.1,3.1,3.1
MDV,,0.0,0.0,0.0490018209813872,0.1,0.0518873782696889,0.1,0.1,0.1,0.1,0.1
MEX,6.0,6.3,6.3,6.75214757032193,19.1,19.0562399200344,18.9,18.9,18.9,19.0,19.0
MHL,0.0,0.4,0.3,0.270441582922218,0.3,0.270441119827786,0.3,0.3,0.3,0.3,0.3
MKD,9.7,9.7,9.7,9.65291179140907,9.7,9.65406515792626,10.6,9.0,12.5,15.4,15.4
MLI,9.1,8.3,8.3,8.2315834186173,8.2,8.2316100550726,8.2,7.5,7.5,7.5,7.5
MLT,0.5,0.5,0.5,6.36539055401746,6.4,6.40936429280157,7.6,7.6,7.6,7.6,7.6
MMR,4.1,4.1,4.1,4.08911261867793,4.2,4.61941895301145,3.8,3.9,3.9,3.9,3.9
MNE,9.6,2.6,2.6,2.63765558413277,4.2,4.16037736573469,6.9,9.0,9.0,9.2,9.2
MNG,13.8,17.4,17.4,17.4032333072051,17.7,17.7138825654778,17.7,19.8,19.8,19.8,19.8
MNP,32.1,100.0,33.2,33.2114779574643,33.2,33.234124272071,33.2,32.0,33.1,33.1,32.2
MOZ,10.5,10.9,12.1,13.4487105924863,13.5,13.4487158907383,13.4,18.0,18.0,18.0,18.0
MRT,1.1,1.1,1.1,1.08074808124804,1.1,1.08070301487219,1.1,1.1,1.1,1.1,1.1
MUS,0.0,0.0,0.0,0.0115432840393507,0.0,0.0114734196747547,0.0,0.0,0.0,0.0,0.0
MWI,16.9,16.9,16.9,16.8938673074221,17.4,22.8760477102777,22.9,22.9,22.9,22.9,22.9
MYS,8.9,8.9,8.9,8.91348575727549,8.9,8.98554474171629,9.0,7.5,8.8,8.8,8.8
NAM,26.9,23.2,23.2,23.2471318730565,23.3,23.2471700646525,23.2,23.2,23.2,23.2,24.5
NCL,2.4,95.6,95.6,95.7641579007986,95.7,96.0127624537845,95.8,95.8,95.8,95.8,95.8
NER,16.7,17.3,17.3,17.3171351250111,17.3,17.3170925189084,17.3,18.2,18.2,18.2,18.2
NGA,11.6,11.6,11.6,11.6107349579734,11.6,11.6106996068528,11.6,11.6,11.6,11.6,11.6
NIC,15.5,15.5,15.5,15.4797788522118,15.5,15.507104242217,15.5,10.0,10.0,10.0,10.0
NLD,20.2,18.0,17.9,17.8924581483262,21.2,21.2099164976154,25.3,25.3,25.3,25.3,25.3
NOR,4.7,4.8,4.8,4.96242625971203,5.1,5.06077998767431,5.0,5.7,15.1,15.2,5.6
NPL,17.2,23.5,23.4,23.6261039405048,23.6,23.6260419833246,23.6,23.6,23.6,23.6,23.6
NRU,,,,,,,,,0.0,0.0,0.0
NZL,27.9,30.5,30.5,30.4786887810956,30.5,30.5050632239854,30.6,30.6,30.6,30.6,30.6
OMN,4.0,1.0,1.0,1.0183041615309,1.0,1.01831171985263,1.0,1.0,1.5,1.5,1.7
PAK,9.8,9.8,9.8,9.7949078821214,9.8,9.7949542203294,9.8,9.8,9.8,9.8,9.8
PAN,5.2,5.2,5.2,5.23495043629487,5.2,5.23498101828947,5.2,15.3,27.7,27.7,27.7
PER,19.2,19.4,19.4,13.1137339130108,13.1,13.1411661261544,13.3,13.3,13.7,16.8,16.8
PHL,2.4,3.1,3.1,3.14138638190187,3.1,3.14140839390029,3.1,3.1,3.7,3.7,3.7
PLW,0.2,0.3,0.3,82.9399513943563,82.9,82.9423566073058,100.0,100.0,100.0,100.0,100.0
PNG,0.7,0.7,0.7,0.657996414830911,0.7,0.657989653388862,0.7,0.7,0.7,0.7,0.7
POL,34.2,29.3,29.3,38.0371484381702,38.1,38.0635379967455,38.1,38.0,38.0,38.0,38.0
PRI,0.5,2.0,2.0,2.02425214978926,2.0,2.01677151753314,2.0,2.1,2.1,2.1,2.1
PRK,1.3,1.3,1.3,1.26053207722418,1.2,1.26022344438817,1.3,1.3,1.3,1.3,1.3
PRT,7.4,7.4,7.5,9.09757449950512,16.5,16.8854244048969,16.9,17.1,17.1,17.2,17.2
PRY,6.5,6.5,6.5,6.5103621832615,6.5,14.3147360800329,14.3,14.3,14.3,14.3,14.3
PSE,,,,,8.4,,8.4,8.4,8.4,8.4,10.0
PYF,0.0,0.0,0.0,0.00585508371915418,0.0,0.00585039711480982,0.0,0.0,0.0,0.0,0.0
QAT,0.8,0.8,0.8,0.778383955157715,4.7,4.72319541989257,4.7,5.8,5.8,5.8,5.8
ROU,18.1,22.5,22.6,22.5799678343345,24.3,24.3099366537139,24.4,24.4,24.4,24.4,24.4
RUS,8.8,7.6,7.6,7.61117652631545,7.6,7.61624908474412,7.6,8.6,8.6,8.6,8.6
RWA,10.7,9.6,8.8,9.11516142086508,9.1,9.11408907313889,9.1,9.1,9.1,9.1,9.1
SAU,28.3,28.3,28.3,4.04094603755622,4.6,4.52837236301312,4.5,4.5,4.5,4.5,14.2
SDN,2.6,1.9,1.9,2.75330083929237,2.8,2.75327389762586,2.8,2.8,2.8,2.8,2.8
SEN,14.5,14.5,14.5,14.4899514635033,14.5,14.5770722670553,14.6,14.6,15.5,15.5,15.5
SGP,3.0,3.2,2.5,2.48665252687779,2.5,2.46306282917716,2.5,2.5,2.5,2.5,2.5
SLB,0.2,0.2,0.2,0.15528252541981,0.2,0.155319976394379,0.1,0.1,0.1,0.2,0.2
SLE,3.3,3.3,3.3,3.29728394383981,3.3,3.2969497958773,3.3,3.3,5.1,5.1,5.1
SLV,2.1,2.1,2.2,2.15222717624485,2.2,2.15167925790249,2.2,2.1,2.1,2.1,2.1
SOM,,,,0.827283619408155,,,0.0,0.0,0.0,0.0,0.0
SRB,7.4,6.7,6.7,6.14965014896773,6.6,6.61310734024646,7.6,7.6,7.6,8.1,8.1
SSD,20.0,15.5,15.5,15.5015818826495,15.5,15.5015012515745,15.5,15.5,15.5,15.5,15.5
STP,0.0,0.0,0.2,0.244162518792601,0.2,0.244688365296076,0.2,0.2,0.2,0.2,0.2
SUR,8.5,8.5,8.5,8.48321297296984,8.5,8.48307368434299,8.5,8.5,8.5,8.5,8.5
SVK,35.9,36.8,36.8,37.283515729079,37.3,37.6304133373472,37.6,37.6,37.6,37.6,37.6
SVN,55.3,54.1,54.1,55.0920233425064,54.0,55.0732581875932,54.0,40.0,40.1,40.1,40.1
